Distrito,Establecimiento,Dirección,Teléfono,Precio de Venta (Soles por galón)
QUILMANA,JESUS PRIMITIVO RUEDA CAYCHO,ESQUINA AV. LIMA CON JR. CALLAO,,17.49
SAN VICENTE DE CAÑETE,REPRESENTACIONES FLORENCIO S.A.C.,CARRETERA PANAMERICANA SUR KM. 148.4,017914118/017753342,17.5
QUILMANA,AR ENERGIA S.A.C.,CARRETERA IMPERIAL - QUILMANA S/N FUNDO HUAMAN DE LOS HEROES,959374819,17.69
QUILMANA,EMPRESA DE TRANSPORTES VIRGEN DE LA CANDELARIA S.A.,"CARRETERA IMPERIAL QUILMANA, KM. 12 PREDIO UC N° 10758A SECTOR 5 ESQUINAS",,17.69
SAN VICENTE DE CAÑETE,PROYECTO INVERSIONES JM S.R.L.,AV. MARISCAL BENAVIDES N° 1399,,17.88
SAN VICENTE DE CAÑETE,ESCOH S.A.C.,"AUTOPISTA IMPERIAL - SAN VICENTE (ALTURA KM. 4.00), AV. MARISCAL BENAVIDES SUB LOTE 1B",955108634,17.88
SAN VICENTE DE CAÑETE,GRIFOS ESPINOZA S.A.,"NUMERO DE PARCELA SUB LOTE A, CODIGO CATASTRAL SECTOR MONTALVAN, PROYECTO TERCER MUNDO VALLE CAÑETE",965948536,17.89
ASIA,ASIA GRIFOS Y SERVICIOS GENERALES S.A.C.,CARRETERA PANAMERICANA SUR KM. 97.5,936834861,17.98
MALA,INVERSIONES MALVELLIZ S.R.L.,AV. PANAMERICANA SUR NO. 630,963830360,17.99
ASIA,ES ASIA COESTI PRIMAX,"CARRETERA PANAMERICANA SUR KM 97.5 LOTE 30, FUNDO LA QUERENCIA",5112033100/2080100/978920612,17.99
NUEVO IMPERIAL,CARLOS ENRIQUE VICENTE HUAMAN,AV. VICTOR ANDRES BELAUNDE MZ. D2 LT. 1K PUEBLO NUEVO DE CONTA,,18.0
ASIA,ESTACION DE SERVICIOS SAN JOSE S.A.C.,KM. 98.20 AUTOPISTA PANAMERICANA SUR,,18.03
CERRO AZUL,ESTACION CERRO AZUL S.A.C.,CARRETERA PANAMERICANA SUR KM. 133,014584556/997581945/989320309,18.19
NUEVO IMPERIAL,TURKEZA7 E.I.R.L.,AUTOPISTA ROMA 52 S/N CRUCE CON CAMINO A RINCONADA,933812537/926359373,18.25
ASIA,COESTI PRIMAX,CARRETERA PANAMERICANA SUR KM. 106 (SUR A NORTE) PREDIO B-SECTOR SARAPAMPA,012033100/012080100/978838700,18.35
ASIA,INVERSIONES SALCANI S.A.C.,"MANZANA A LOTES 1 AL 4, URB. LAS CASUARINAS DE ASIA",014978549/996396560/975359369,18.38
SAN VICENTE DE CAÑETE,MECHANIC PRO FUELS S.A.C.,AV. MARISCAL BENAVIDES N° 2433,012847620,18.45
IMPERIAL,GAS STATION CHAUPIN S.A.C.,MZ I 2 H.U. URB. RESIDENCIAL VILLA VICENTE 3ERA ETAPA,,18.5
CERRO AZUL,J.W. OLIVER S.A.C.,CARRETERA PANAMERICANA SUR KM. 127 - PAMPA LOS LOBOS,,18.55
IMPERIAL,ESTACION DE SERVICIOS VISTA ALEGRE E.I.R.L.,"LOTE SAN FRANCISCO A-1 SECTOR LA ALAMEDA, COOPERATIVA AGRARIA CERRO ALEGRE",,18.59
NUEVO IMPERIAL,GASOLINERA CHAUPIN S.A.C.,"AV. LOS LIBERTADORES S/N, CENTRO POBLADO AUGUSTO B. LEGUIA (ALTURA KM 12, MARGEN DERECHA CARRETERA CAÑETE - YAUYOS)",,18.8
SAN LUIS,COESTI SA,PANAMERICANA SUR KM. 138 AV. 28 DE JULIO N 216,012080100/012033100/920812978,18.89
CERRO AZUL,COESTI S.A.,ALTURA DEL KM. 129.2 DE LA AUTOPISTA PANAMERICANA SUR,511996207533/5112033100/967906076,18.89
ASIA,COESTI S.A. PRIMAX,CARRETERA PANAMERICANA SUR KM. 106 (NORTE A SUR) PREDIO A SECTOR SARAPAMPA,012080100/012033100/978838700,18.89
MALA,GRUPO EMPRESARIAL NONATO E.I.R.L.,"CARRETERA PANAMERICANA SUR KM. 87.5 LOTE 01 ESQUINA CON PASAJE PALOMINO (UC 11676 SALITRE BUJAMA, SECTOR PAMPA BARCELONA)",,14.99
CHILCA,ESTACIÓN DE SERVICIOS PASO DE LOS ANDES S.A.C.,PANAMERICANA SUR KM. 57.4,012718701/012319499,15.12
CHILCA,ESTACION 715 PETRO CHILCA,"MZ. N, LOTE 02, ALTURA KM. 63.50 CARRETERA PANAMERICANA SUR LADO IZQUIERDO SENTIDO LIMA - CAÑETE",015342336,15.22
IMPERIAL,COMPAÑIA DE COMBUSTIBLES DEL SUR S.A.C.,AV. VILLARREAL MZ. B LOTE. 33 ANEXO VILLARREAL,999083491,15.28
SAN ANTONIO,J.W. OLIVER S.A.C.,"PARCELA Nº 24, CODIGO CATASTRAL 11251 - PAMPA LA VIRGEN – SAN ANTONIO U. C. 11251 - P.O. 3141198 ALTURA CARRETERA PANAMERICANA SUR KM. 76.700",,15.29
NUEVO IMPERIAL,EMPRESA DE TRANSPORTES IMPERIAL NUEVO IMPERIAL LA FLORIDA Nº 06 S.A.,"LOTIZACION EL CONDE, LOTE 1, PARCELA P-87-1",,15.58
SAN VICENTE DE CAÑETE,SILVIA AMANDA DIAZ CALDERON,CARRETERA PANAMERICANA SUR KM. 144.5,932110580,15.69
SAN VICENTE DE CAÑETE,ESTACION SR DE LA ASCESION DE CACHUY SAC,CARRETERA PANAMERICANA SUR KM. 145.25,949862589,15.69
SAN VICENTE DE CAÑETE,COMBUSTIBLES ICA S.A.,CARRETERA PANAMERICANA SUR KM. 143,012661515,15.69
MALA,PRISER INVERSIONES S.A.C.,PREDIO RURAL MARCHAND SECTOR MALA CODIGO CATASTRAL 8-3208600-019052 PROYECTO PREDIOS DE MALA VALLE MALA,999228026,15.75
IMPERIAL,ESTACION DE SERVICIOS MONTECRUZ S.A.C.,RESIDENCIAL VILLA VICENTE MZ. 'H2' LOTE 01 CARRETERA CAÑETE - YAUYOS,,15.78
CHILCA,ES CHILCA COESTI PRIMAX,AUTOPISTA PANAMERICANA SUR KM. 63.5,5112033100/012080100/987862400,15.79
MALA,GRIFO KAREN & CAROL SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,AV. PANAMERICANA N° 352,015309662,15.83
MALA,GRIFOSA SAC,CARRETERA PANAMERICANA SUR KM. 86.5,963764138/994602464,15.89
MALA,SOLIER REYNOSO RAUL HUMBERTO,"PARCELA 101A, UC 12167, LOTES 12 AL 6 PROYECTO SAN PEDRO DE MALA, SECTOR BUJAMA",,15.89
CERRO AZUL,AUTOSERVICIO CASA BLANCA S.A.C.,ANTIGUA PANAMERICANA SUR KM 134.5,965116086,15.9
MALA,REPSOL COMERCIAL S.A.C.,AUTOPISTA CARRETERA PANAMERICANA SUR KM. 88,012765939,15.99
MALA,REPSOL COMERCIAL S.A.C.,CARRETERA PANAMERICANA SUR KM 88,,15.99
SAN LUIS,GRIFO CENTRAL SAC,AV. 28 DE JULIO N° 152,987803875,16.0
SAN VICENTE DE CAÑETE,AUTOPASA EIRL,CARRETERA PANAMERICANA SUR KM. 142.5,975064338,16.0
SAN VICENTE DE CAÑETE,REPRESENTACIONES FLORENCIO S.A.C.,CARRETERA PANAMERICANA SUR KM. 148.4,017914118/017753342,16.2
QUILMANA,SERVICENTRO RUEDA,LT. 19 - 2 CINCO ESQUINAS - CARRETERA DE IMPERIAL A QUILMANA (EX ANTIGUA PANAMERICANA),955568924/955340720,16.29
IMPERIAL,ESTACION DE SERVICIOS VISTA ALEGRE E.I.R.L.,"LOTE SAN FRANCISCO A-1 SECTOR LA ALAMEDA, COOPERATIVA AGRARIA CERRO ALEGRE",,16.29
NUEVO IMPERIAL,ESTACION DE SERVICIOS ROMA,"AV. CENTRO POBLADO PUEBLO NUEVO DE CONTA, AV. VICTOR ANDRES BELAUNDE MZ. X2 LOTE 6",947194433/955340720,16.29
SAN VICENTE DE CAÑETE,EMPRESA HUPESA S.A.C.,"AV. MARISCAL OSCAR R. BENAVIDES (AUTOPISTA SAN VICENTE - IMPERIAL), SECTOR EL CHILCAL U.C. 06620 PARCELA 1, SUB LOTE A",989507254,16.35
MALA,RENSO & RUTH INVERSIONES ASOCIADAS S.A.C.,ANTIGUA PANAMERICANA SUR PARCELA UC 02547-A,,16.37
SAN ANTONIO,RENSO & RUTH INVERSIONES ASOCIADAS S.A.C,"AV. LIBERTAD MZ. F, LOTE 17.",,16.37
IMPERIAL,SERVICENTRO VIRGEN DE COCHARCAS S.A.C.,"URB. LOS LAURELES, MZ. A LT. N° 1",015897024/949809337,16.38
MALA,GENARA LIDA RODRIGUEZ RODRIGUEZ,AV MARCHAND S/N - PREDIO LA HUACA,,16.4
ASIA,ESTACION DE SERVICIOS SAN JOSE S.A.C.,KM. 98.20 AUTOPISTA PANAMERICANA SUR,,16.5
IMPERIAL,EMPRESA DE TRANSPORTES UNIDOS S.A.,"LOTIZACION PINO MZ. A LOTE 1, CENTRO POBLADO MENOR SAN ISIDRO",,16.5
QUILMANA,JESUS PRIMITIVO RUEDA CAYCHO,ESQUINA AV. LIMA CON JR. CALLAO,,16.55
ASIA,INVERSIONES SALCANI S.A.C.,"MANZANA A LOTES 1 AL 4, URB. LAS CASUARINAS DE ASIA",014978549/996396560/975359369,16.59
ASIA,ES ASIA COESTI PRIMAX,"CARRETERA PANAMERICANA SUR KM 97.5 LOTE 30, FUNDO LA QUERENCIA",5112033100/2080100/978920612,16.69
ASIA,ASIA GRIFOS Y SERVICIOS GENERALES S.A.C.,CARRETERA PANAMERICANA SUR KM. 97.5,936834861,16.69
QUILMANA,EMPRESA DE TRANSPORTES VIRGEN DE LA CANDELARIA S.A.,"CARRETERA IMPERIAL QUILMANA, KM. 12 PREDIO UC N° 10758A SECTOR 5 ESQUINAS",,16.69
ASIA,COESTI PRIMAX,CARRETERA PANAMERICANA SUR KM. 106 (SUR A NORTE) PREDIO B-SECTOR SARAPAMPA,012033100/012080100/978838700,16.69
QUILMANA,AR ENERGIA S.A.C.,CARRETERA IMPERIAL - QUILMANA S/N FUNDO HUAMAN DE LOS HEROES,959374819,16.69
SAN VICENTE DE CAÑETE,ESCOH S.A.C.,"AUTOPISTA IMPERIAL - SAN VICENTE (ALTURA KM. 4.00), AV. MARISCAL BENAVIDES SUB LOTE 1B",955108634,16.78
SAN VICENTE DE CAÑETE,PROYECTO INVERSIONES JM S.R.L.,AV. MARISCAL BENAVIDES N° 1399,,16.78
SAN VICENTE DE CAÑETE,GRIFOS ESPINOZA S.A.,"NUMERO DE PARCELA SUB LOTE A, CODIGO CATASTRAL SECTOR MONTALVAN, PROYECTO TERCER MUNDO VALLE CAÑETE",965948536,16.79
SAN LUIS,COESTI SA,PANAMERICANA SUR KM. 138 AV. 28 DE JULIO N 216,012080100/012033100/920812978,16.89
SAN VICENTE DE CAÑETE,MECHANIC PRO FUELS S.A.C.,AV. MARISCAL BENAVIDES N° 2433,012847620,16.98
MALA,INVERSIONES MALVELLIZ S.R.L.,AV. PANAMERICANA SUR NO. 630,963830360,16.99
SAN VICENTE DE CAÑETE,EMPRESA DE TRANSPORTES DE PASAJEROS DE SERVICIO RAPIDO SEÑOR DE LA ASCENCION DE CACHUY Nº 1 S.A.,CARRETERA PANAMERICANA SUR KM. 145,,16.99
NUEVO IMPERIAL,CARLOS ENRIQUE VICENTE HUAMAN,AV. VICTOR ANDRES BELAUNDE MZ. D2 LT. 1K PUEBLO NUEVO DE CONTA,,17.0
IMPERIAL,GAS STATION CHAUPIN S.A.C.,MZ I 2 H.U. URB. RESIDENCIAL VILLA VICENTE 3ERA ETAPA,,17.0
CERRO AZUL,EL FIEL INCOMPRENDIDO S.A.C.,"SUB LOTE A-1, SECTOR PAMPA LOS LOBOS, ALTUTRA KM. 130, CARRETERA PANAMERICANA SUR",,17.05
ASIA,COESTI S.A. PRIMAX,CARRETERA PANAMERICANA SUR KM. 106 (NORTE A SUR) PREDIO A SECTOR SARAPAMPA,012080100/012033100/978838700,17.09
CERRO AZUL,J.W. OLIVER S.A.C.,CARRETERA PANAMERICANA SUR KM. 127 - PAMPA LOS LOBOS,,17.19
SAN VICENTE DE CAÑETE,AUTOPASA EIRL,CARRETERA PANAMERICANA SUR KM. 142.5,975064338,17.4
CERRO AZUL,J.W. OLIVER S.A.C.,CARRETERA PANAMERICANA SUR KM. 127 - PAMPA LOS LOBOS,,16.3
CHILCA,ESTACION 715 PETRO CHILCA,"MZ. N, LOTE 02, ALTURA KM. 63.50 CARRETERA PANAMERICANA SUR LADO IZQUIERDO SENTIDO LIMA - CAÑETE",015342336,16.33
CHILCA,ESTACIÓN DE SERVICIOS PASO DE LOS ANDES S.A.C.,PANAMERICANA SUR KM. 57.4,012718701/012319499,16.33
MALA,GRUPO EMPRESARIAL NONATO E.I.R.L.,"CARRETERA PANAMERICANA SUR KM. 87.5 LOTE 01 ESQUINA CON PASAJE PALOMINO (UC 11676 SALITRE BUJAMA, SECTOR PAMPA BARCELONA)",,16.49
CERRO AZUL,AUTOSERVICIO CASA BLANCA S.A.C.,ANTIGUA PANAMERICANA SUR KM 134.5,965116086,16.5
CHILCA,ES CHILCA COESTI PRIMAX,AUTOPISTA PANAMERICANA SUR KM. 63.5,5112033100/012080100/987862400,16.59
IMPERIAL,EMPRESA DE TRANSPORTES UNIDOS S.A.,"LOTIZACION PINO MZ. A LOTE 1, CENTRO POBLADO MENOR SAN ISIDRO",,16.7
CERRO AZUL,COESTI S.A.,ALTURA DEL KM. 129.2 DE LA AUTOPISTA PANAMERICANA SUR,511996207533/5112033100/967906076,16.85
CERRO AZUL,SERVICENTRO CERRO AZUL E.I.R.L.,CARRETERA PANAMERICANA SUR KM. 129+400,982798205,16.85
IMPERIAL,ESTACION DE SERVICIOS MONTECRUZ S.A.C.,RESIDENCIAL VILLA VICENTE MZ. 'H2' LOTE 01 CARRETERA CAÑETE - YAUYOS,,16.88
IMPERIAL,COMPAÑIA DE COMBUSTIBLES DEL SUR S.A.C.,AV. VILLARREAL MZ. B LOTE. 33 ANEXO VILLARREAL,999083491,16.88
NUEVO IMPERIAL,EMPRESA DE TRANSPORTES IMPERIAL NUEVO IMPERIAL LA FLORIDA Nº 06 S.A.,"LOTIZACION EL CONDE, LOTE 1, PARCELA P-87-1",,16.88
MALA,RENSO & RUTH INVERSIONES ASOCIADAS S.A.C.,ANTIGUA PANAMERICANA SUR PARCELA UC 02547-A,,16.95
SAN ANTONIO,RENSO & RUTH INVERSIONES ASOCIADAS S.A.C,"AV. LIBERTAD MZ. F, LOTE 17.",,16.95
MALA,GRIFO KAREN & CAROL SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,AV. PANAMERICANA N° 352,015309662,16.95
ASIA,INVERSIONES SALCANI S.A.C.,"MANZANA A LOTES 1 AL 4, URB. LAS CASUARINAS DE ASIA",014978549/996396560/975359369,16.99
ASIA,ES ASIA COESTI PRIMAX,"CARRETERA PANAMERICANA SUR KM 97.5 LOTE 30, FUNDO LA QUERENCIA",5112033100/2080100/978920612,16.99
ASIA,ASIA GRIFOS Y SERVICIOS GENERALES S.A.C.,CARRETERA PANAMERICANA SUR KM. 97.5,936834861,16.99
IMPERIAL,ESTACION DE SERVICIOS VISTA ALEGRE E.I.R.L.,"LOTE SAN FRANCISCO A-1 SECTOR LA ALAMEDA, COOPERATIVA AGRARIA CERRO ALEGRE",,16.99
ASIA,ESTACION DE SERVICIOS SAN JOSE S.A.C.,KM. 98.20 AUTOPISTA PANAMERICANA SUR,,16.99
MALA,PRISER INVERSIONES S.A.C.,PREDIO RURAL MARCHAND SECTOR MALA CODIGO CATASTRAL 8-3208600-019052 PROYECTO PREDIOS DE MALA VALLE MALA,999228026,16.99
MALA,GRIFOSA SAC,CARRETERA PANAMERICANA SUR KM. 86.5,963764138/994602464,16.99
QUILMANA,AR ENERGIA S.A.C.,CARRETERA IMPERIAL - QUILMANA S/N FUNDO HUAMAN DE LOS HEROES,959374819,16.99
QUILMANA,JESUS PRIMITIVO RUEDA CAYCHO,ESQUINA AV. LIMA CON JR. CALLAO,,16.99
SAN VICENTE DE CAÑETE,COMBUSTIBLES ICA S.A.,CARRETERA PANAMERICANA SUR KM. 143,012661515,16.99
SAN LUIS,GRIFO CENTRAL SAC,AV. 28 DE JULIO N° 152,987803875,17.0
SAN ANTONIO,J.W. OLIVER S.A.C.,"PARCELA Nº 24, CODIGO CATASTRAL 11251 - PAMPA LA VIRGEN – SAN ANTONIO U. C. 11251 - P.O. 3141198 ALTURA CARRETERA PANAMERICANA SUR KM. 76.700",,17.01
QUILMANA,SERVICENTRO RUEDA,LT. 19 - 2 CINCO ESQUINAS - CARRETERA DE IMPERIAL A QUILMANA (EX ANTIGUA PANAMERICANA),955568924/955340720,17.05
NUEVO IMPERIAL,ESTACION DE SERVICIOS ROMA,"AV. CENTRO POBLADO PUEBLO NUEVO DE CONTA, AV. VICTOR ANDRES BELAUNDE MZ. X2 LOTE 6",947194433/955340720,17.1
QUILMANA,EMPRESA DE TRANSPORTES VIRGEN DE LA CANDELARIA S.A.,"CARRETERA IMPERIAL QUILMANA, KM. 12 PREDIO UC N° 10758A SECTOR 5 ESQUINAS",,17.1
ASIA,COESTI PRIMAX,CARRETERA PANAMERICANA SUR KM. 106 (SUR A NORTE) PREDIO B-SECTOR SARAPAMPA,012033100/012080100/978838700,17.15
SAN LUIS,COESTI SA,PANAMERICANA SUR KM. 138 AV. 28 DE JULIO N 216,012080100/012033100/920812978,17.19
MALA,SOLIER REYNOSO RAUL HUMBERTO,"PARCELA 101A, UC 12167, LOTES 12 AL 6 PROYECTO SAN PEDRO DE MALA, SECTOR BUJAMA",,17.19
MALA,GENARA LIDA RODRIGUEZ RODRIGUEZ,AV MARCHAND S/N - PREDIO LA HUACA,,17.2
NUEVO IMPERIAL,TURKEZA7 E.I.R.L.,AUTOPISTA ROMA 52 S/N CRUCE CON CAMINO A RINCONADA,933812537/926359373,17.26
SAN VICENTE DE CAÑETE,SILVIA AMANDA DIAZ CALDERON,CARRETERA PANAMERICANA SUR KM. 144.5,932110580,17.29
CERRO AZUL,EL FIEL INCOMPRENDIDO S.A.C.,"SUB LOTE A-1, SECTOR PAMPA LOS LOBOS, ALTUTRA KM. 130, CARRETERA PANAMERICANA SUR",,17.29
ASIA,COESTI S.A. PRIMAX,CARRETERA PANAMERICANA SUR KM. 106 (NORTE A SUR) PREDIO A SECTOR SARAPAMPA,012080100/012033100/978838700,17.29
SAN VICENTE DE CAÑETE,ESTACION SR DE LA ASCESION DE CACHUY SAC,CARRETERA PANAMERICANA SUR KM. 145.25,949862589,17.29
SAN VICENTE DE CAÑETE,GRIFOS ESPINOZA S.A.,"NUMERO DE PARCELA SUB LOTE A, CODIGO CATASTRAL SECTOR MONTALVAN, PROYECTO TERCER MUNDO VALLE CAÑETE",965948536,17.29
SAN VICENTE DE CAÑETE,REPRESENTACIONES FLORENCIO S.A.C.,CARRETERA PANAMERICANA SUR KM. 148.4,017914118/017753342,17.3
IMPERIAL,SERVICENTRO VIRGEN DE COCHARCAS S.A.C.,"URB. LOS LAURELES, MZ. A LT. N° 1",015897024/949809337,17.3
SAN VICENTE DE CAÑETE,AUTOPASA EIRL,CARRETERA PANAMERICANA SUR KM. 142.5,975064338,17.3
CERRO AZUL,ESTACION CERRO AZUL S.A.C.,CARRETERA PANAMERICANA SUR KM. 133,014584556/997581945/989320309,17.49
NUEVO IMPERIAL,CARLOS ENRIQUE VICENTE HUAMAN,AV. VICTOR ANDRES BELAUNDE MZ. D2 LT. 1K PUEBLO NUEVO DE CONTA,,17.5
SAN VICENTE DE CAÑETE,ESCOH S.A.C.,"AUTOPISTA IMPERIAL - SAN VICENTE (ALTURA KM. 4.00), AV. MARISCAL BENAVIDES SUB LOTE 1B",955108634,17.78
SAN VICENTE DE CAÑETE,EMPRESA HUPESA S.A.C.,"AV. MARISCAL OSCAR R. BENAVIDES (AUTOPISTA SAN VICENTE - IMPERIAL), SECTOR EL CHILCAL U.C. 06620 PARCELA 1, SUB LOTE A",989507254,17.78
SAN VICENTE DE CAÑETE,PROYECTO INVERSIONES JM S.R.L.,AV. MARISCAL BENAVIDES N° 1399,,17.78
MALA,INVERSIONES MALVELLIZ S.R.L.,AV. PANAMERICANA SUR NO. 630,963830360,17.89
SAN VICENTE DE CAÑETE,MECHANIC PRO FUELS S.A.C.,AV. MARISCAL BENAVIDES N° 2433,012847620,17.98
CHANCAY,EMPRESA DE SERVICIOS Y TRANSPORTES EL NEGRO E.I.R.L.,MZ A LOTE 17 - SECTOR CHACARILLA CARRETERA PANAMERICANA KM 80.7,017654321/991531748,15.69
HUARAL,SHANDHIRA S.A.C.,"AUTOPISTA CHANCAY HUARAL, PREDIO DEL PUQUIO LOTE A",983043666/954131333,15.79
HUARAL,INVERSIONES JULIO III SAC,PARTE DE LA PARCELA U.C. 12131 MILAGROS BAJO - HUANDO,962711993/944570361,15.8
AUCALLAMA,COMERCIALIZADORA Y SERVICIOS DON MARCOS S.A.C.,VARIANTE AUTOPISTA HUARAL - LIMA KM. 09 SECTOR CARLINI,017913707/976724333/949545718,15.8
CHANCAY,INVERSIONES JULIO III SAC,"CARRETERA HUARAL - CHANCAY KM.2.7, PARCELA 92-A SECTOR TORRE BLANCA",962711993/994102235,15.8
HUARAL,GRIFOS SANTA MARIA,CARRETERA LIMA - HUARAL S/N JESUS DEL VALLE KM 2,999332098,15.99
HUARAL,GRIFO EL HUARANGAL EIRL,"CARRETERA HUARAL LT 11 SECTOR JESUS DEL VALLE, UC 10753",,15.99
AUCALLAMA,INVERSIONES Y NEGOCIOS HS S.A.C.,"PARCELA N° 71B SECTOR CARLINI, EX HACIENDA BOZA LTDA. N° 15",993235724,15.99
CHANCAY,AXEL GAS SAC,"PARCELA 41 –U.C. 02503, ALTURA KM 87+300 PANAMERICANA NORTE",,15.99
CHANCAY,GRIFOS SERPENTIN S.A.C.,CARRETERA PANAMERICANA NORTE KM. 85,995734132,15.99
HUARAL,TRANSPORTE CASSA E.I.R.L.,"PROLONG.AV. ESTACION S/N, LT.5, EX HACIENDA JESUS DEL VALLE",980071255,16.0
HUARAL,ESTACION DE SERVICIO SAN MARTIN,"ESQUINA AV. CIRCUNVALACION NORTE Y PROLONGACION MARISCAL CASTILLA MZ B LTS. 9, 10, 11 Y 12 HUARAL / HUARAL / LIMA",934817956,16.05
HUARAL,BIOCOMBUSTIBLES H2O S.A.C.,AV. CHANCAY NRO. 513,952174539/940444632,16.29
HUARAL,ESTACION DE SERVICIOS Y GASOCENTRO ESPERANZA SILYCARP INV SAC,AV. VICTORIA S/N,964657631/934817956,16.39
HUARAL,INVERSIONES ALABAZ,AV. CHANCHAY 101 - HUARAL (ESQUINA CON 2 DE MAYO),998198358,16.39
HUARAL,INVERSIONES REJU E.I.R.L.,"KM. 8.185, PISTA HUARAL - VARIANTE PASAMAYO",012466062,16.49
HUARAL,NEGOCIACIONES CMC D' HUARAL S.A.C.,"AV. HUANDO S/N MZ. A, LOTE 1, LAS DELICIAS",012464677/015483536,16.5
AUCALLAMA,ESTACION DE SERVICIOS GRIFO DENVER SRL,CARRETERA PANAMERICANA NORTE KM 66 PASAMAYO,,16.59
AUCALLAMA,SERVICENTRO PASAMAYO S.A.C.,"CARRETERA PANAMERICANA NORTE KM 66, SECTOR “A”, PASAMAYO",015502618/995622427/946180584,16.65
CHANCAY,CORPORACION OIL GEMS SOCIEDAD ANONIMA CERRADA - CORPORACION OIL GEMS S.A.C.,CARRETERA PANAMERICANA NORTE KM 97.20,,16.69
HUARAL,CONSULTORA NORQUEENS S.A.C.,LOTIZADORA SEÑOR DE LOS MILAGROS MZ. B LTS. 26 Y 27,012462764,16.75
AUCALLAMA,SERVICENTRO AGUKI NORTE S.A. - AGUKI NORTE S.A.,ALTURA DEL KM 74 DE LA CARRETERA ANTIGUA PANAMERICANA NORTE – PREDIO RURAL CHACRA Y MAR,,16.89
HUARAL,ESTACION DE SERVICIOS GRIFO DENVER S.R.L.,ESQ. AV. CIRCUNVALACION SUR Y PROLONGACION LOS ANGELES,,16.99
CHANCAY,ESTACION DE SERVICIOS GRIFO MASTER SRL,"CARRETERA PANAMERICANA NORTE KM. 86.3, PARCELA 60-A PREDIO LAURE NORTE Y LAURE SUR",,16.99
HUARAL,GRIFO PIERINA,IRRIGACION LA ESPERANZA - SECTOR LA VIRGEN - LOTE N° 5-C,976482520/998227119,17.29
HUARAL,JULIAN ROSARIO DIAZ ALVA,CARRETERA CHANCAY KM 7.35,012460080/996673021/982089092,17.79
CHANCAY,DACOR GAS S.A.C.,CARRETERA PANAMERICANA NORTE KM. 84,977175106/927041300,17.79
CHANCAY,ALRESA S.A.,AV. ROOSEVELT N° 502,945938913,17.8
CHANCAY,G CELESTE S.A.C.,CARRETERA PANAMERICANA NORTE KM. 87.5,015720544/960932192/991949291,17.83
AUCALLAMA,AUCALLAMAS SAC,CARRETERA PANAMERICANA NORTE KM. 75.1,01976484997/01976301977,17.9
CHANCAY,COESTI S.A.,CARRETERA PANAMERICANA NORTE KM 90.30,5012080100/2033100/978829055,17.99
HUARAL,COESTI S.A.,AV. CHANCAY S/N ESQUINA CON CALLE 3 DE OCTUBRE,012033100/012080100/978845456,17.99
CHANCAY,COESTI S.A,CARRETERA PANAMERICANA NORTE KM. 84.9,012080100/012033100/978835820,17.99
HUARAL,JUSTO CESAR AYBAR BELLIDO,AV. CIRCUNVALACION Y AV. LOS NATURALES,959603474/985572412,17.99
HUARAL,REPSOL COMERCIAL S.A.C.,AV. CHANCAY S/N Y JULIO C. TELLO URBANIZACION EL ROSARIO,012461115,18.25
HUARAL,COESTI S.A,CALLE DERECHA N° 898 (CALLE DERECHA CUADRA 9 ESQ. CAMAL VIEJO),012033100/012080100/978837753,18.29
AUCALLAMA,LUBRICENTRO AUCALLAMA S.A.C.,"PARCELA 49, PROYECTO SAN JOSE DE MIRAFLORES",,18.49
CHANCAY,GLOBAL FUEL SOCIEDAD ANONIMA,CARRETERA PANAMERICANA NORTE KM 85.5,013771137,18.89
CHANCAY,REPSOL COMERCIAL S.A.C.,CARRETERA PANAMERICANA NORTE KM.82,013771001/013771530,18.99
