Distrito,Establecimiento,Dirección,Teléfono,Precio de Venta (Soles por galón)
CHANCAY,REPSOL COMERCIAL S.A.C.,"CARRETERA PANAMERICANA NORTE KM. 77.5, FUNDO LAS SALINAS",013772721/999622419,18.99
CHANCAY,CORPORACION RIO BRANCO S A,"CARRETERA PANAMERICANA NORTE KM. 92.5, MZ. A, LOTE 13, POBLADO 4 DE JUNIO, CHANCAYLLO.",013883991/996689174,19.6
HUARAL,INVERSIONES JULIO III SAC,PARTE DE LA PARCELA U.C. 12131 MILAGROS BAJO - HUANDO,962711993/944570361,14.69
CHANCAY,INVERSIONES JULIO III SAC,"CARRETERA HUARAL - CHANCAY KM.2.7, PARCELA 92-A SECTOR TORRE BLANCA",962711993/994102235,14.69
CHANCAY,EMPRESA DE SERVICIOS Y TRANSPORTES EL NEGRO E.I.R.L.,MZ A LOTE 17 - SECTOR CHACARILLA CARRETERA PANAMERICANA KM 80.7,017654321/991531748,14.69
HUARAL,TRANSPORTE CASSA E.I.R.L.,"PROLONG.AV. ESTACION S/N, LT.5, EX HACIENDA JESUS DEL VALLE",980071255,14.75
HUARAL,SHANDHIRA S.A.C.,"AUTOPISTA CHANCAY HUARAL, PREDIO DEL PUQUIO LOTE A",983043666/954131333,14.79
AUCALLAMA,COMERCIALIZADORA Y SERVICIOS DON MARCOS S.A.C.,VARIANTE AUTOPISTA HUARAL - LIMA KM. 09 SECTOR CARLINI,017913707/976724333/949545718,14.8
CHANCAY,GRIFOS SERPENTIN S.A.C.,CARRETERA PANAMERICANA NORTE KM. 85,995734132,14.99
CHANCAY,AXEL GAS SAC,"PARCELA 41 –U.C. 02503, ALTURA KM 87+300 PANAMERICANA NORTE",,14.99
AUCALLAMA,INVERSIONES Y NEGOCIOS HS S.A.C.,"PARCELA N° 71B SECTOR CARLINI, EX HACIENDA BOZA LTDA. N° 15",993235724,14.99
HUARAL,GRIFOS SANTA MARIA,CARRETERA LIMA - HUARAL S/N JESUS DEL VALLE KM 2,999332098,14.99
HUARAL,GRIFO EL HUARANGAL EIRL,"CARRETERA HUARAL LT 11 SECTOR JESUS DEL VALLE, UC 10753",,15.0
HUARAL,ROLEMAX,LOTIZADORA ISMAEL COLAN MZ E LOTES 8 Y 9,983950286,15.0
HUARAL,ESTACION DE SERVICIO SAN MARTIN,"ESQUINA AV. CIRCUNVALACION NORTE Y PROLONGACION MARISCAL CASTILLA MZ B LTS. 9, 10, 11 Y 12 HUARAL / HUARAL / LIMA",934817956,15.05
HUARAL,BIOCOMBUSTIBLES H2O S.A.C.,AV. CHANCAY NRO. 513,952174539/940444632,15.09
HUARAL,INVERSIONES ALABAZ,AV. CHANCHAY 101 - HUARAL (ESQUINA CON 2 DE MAYO),998198358,15.29
HUARAL,INVERSIONES REJU E.I.R.L.,"KM. 8.185, PISTA HUARAL - VARIANTE PASAMAYO",012466062,15.29
HUARAL,INVERSIONES Y REPRESENTACIONES EGAR S.A.C.,PARCELA 42 EX FUNDO HUERTO ESQUIVEL (AV. CHANCAY KM. 8),012502164/920659824,15.35
HUARAL,ESTACION DE SERVICIOS Y GASOCENTRO ESPERANZA SILYCARP INV SAC,AV. VICTORIA S/N,964657631/934817956,15.39
HUARAL,NEGOCIACIONES CMC D' HUARAL S.A.C.,"AV. HUANDO S/N MZ. A, LOTE 1, LAS DELICIAS",012464677/015483536,15.5
HUARAL,ESTACION DE SERVICIOS GRIFO DENVER S.R.L.,ESQ. AV. CIRCUNVALACION SUR Y PROLONGACION LOS ANGELES,,15.59
AUCALLAMA,SERVICENTRO PASAMAYO S.A.C.,"CARRETERA PANAMERICANA NORTE KM 66, SECTOR “A”, PASAMAYO",015502618/995622427/946180584,15.65
AUCALLAMA,ESTACION DE SERVICIOS GRIFO DENVER SRL,CARRETERA PANAMERICANA NORTE KM 66 PASAMAYO,,15.69
HUARAL,CONSULTORA NORQUEENS S.A.C.,LOTIZADORA SEÑOR DE LOS MILAGROS MZ. B LTS. 26 Y 27,012462764,15.75
CHANCAY,CORPORACION OIL GEMS SOCIEDAD ANONIMA CERRADA - CORPORACION OIL GEMS S.A.C.,CARRETERA PANAMERICANA NORTE KM 97.20,,15.79
AUCALLAMA,SERVICENTRO AGUKI NORTE S.A. - AGUKI NORTE S.A.,ALTURA DEL KM 74 DE LA CARRETERA ANTIGUA PANAMERICANA NORTE – PREDIO RURAL CHACRA Y MAR,,15.79
CHANCAY,ALRESA S.A.,AV. ROOSEVELT N° 502,945938913,15.8
CHANCAY,DACOR GAS S.A.C.,CARRETERA PANAMERICANA NORTE KM. 84,977175106/927041300,15.9
HUARAL,JULIAN ROSARIO DIAZ ALVA,CARRETERA CHANCAY KM 7.35,012460080/996673021/982089092,15.99
HUARAL,COESTI S.A.,AV. CHANCAY S/N ESQUINA CON CALLE 3 DE OCTUBRE,012033100/012080100/978845456,15.99
HUARAL,JUSTO CESAR AYBAR BELLIDO,AV. CIRCUNVALACION Y AV. LOS NATURALES,959603474/985572412,15.99
CHANCAY,ESTACION DE SERVICIOS GRIFO MASTER SRL,"CARRETERA PANAMERICANA NORTE KM. 86.3, PARCELA 60-A PREDIO LAURE NORTE Y LAURE SUR",,15.99
HUARAL,REPSOL COMERCIAL S.A.C.,AV. CHANCAY S/N Y JULIO C. TELLO URBANIZACION EL ROSARIO,012461115,16.25
HUARAL,GRIFO PIERINA,IRRIGACION LA ESPERANZA - SECTOR LA VIRGEN - LOTE N° 5-C,976482520/998227119,16.39
HUARAL,COESTI S.A,CALLE DERECHA N° 898 (CALLE DERECHA CUADRA 9 ESQ. CAMAL VIEJO),012033100/012080100/978837753,16.39
CHANCAY,COESTI S.A,CARRETERA PANAMERICANA NORTE KM. 84.9,012080100/012033100/978835820,16.49
CHANCAY,COESTI S.A.,CARRETERA PANAMERICANA NORTE KM 90.30,5012080100/2033100/978829055,16.49
CHANCAY,G CELESTE S.A.C.,CARRETERA PANAMERICANA NORTE KM. 87.5,015720544/960932192/991949291,16.73
AUCALLAMA,AUCALLAMAS SAC,CARRETERA PANAMERICANA NORTE KM. 75.1,01976484997/01976301977,16.8
CHANCAY,GLOBAL FUEL SOCIEDAD ANONIMA,CARRETERA PANAMERICANA NORTE KM 85.5,013771137,16.89
AUCALLAMA,MARBELLA PERU S.A.C,PARCELA 34 LT B1 - SECTOR CHACRA Y MAR - PASAMAYO,,16.99
AUCALLAMA,LUBRICENTRO AUCALLAMA S.A.C.,"PARCELA 49, PROYECTO SAN JOSE DE MIRAFLORES",,16.99
CHANCAY,REPSOL COMERCIAL S.A.C.,CARRETERA PANAMERICANA NORTE KM.82,013771001/013771530,17.59
CHANCAY,REPSOL COMERCIAL S.A.C.,"CARRETERA PANAMERICANA NORTE KM. 77.5, FUNDO LAS SALINAS",013772721/999622419,17.59
AUCALLAMA,SERVICIOS JAYLU PERU E.I.R.L.,PARCELA 113-B BARRIO SAN JOSE S/N PALPA,017979690,17.9
CHANCAY,CORPORACION RIO BRANCO S A,"CARRETERA PANAMERICANA NORTE KM. 92.5, MZ. A, LOTE 13, POBLADO 4 DE JUNIO, CHANCAYLLO.",013883991/996689174,17.99
HUARAL,ROLEMAX,LOTIZADORA ISMAEL COLAN MZ E LOTES 8 Y 9,983950286,16.5
CHANCAY,AXEL GAS SAC,"PARCELA 41 –U.C. 02503, ALTURA KM 87+300 PANAMERICANA NORTE",,15.88
CHANCAY,EMPRESA DE SERVICIOS Y TRANSPORTES EL NEGRO E.I.R.L.,MZ A LOTE 17 - SECTOR CHACARILLA CARRETERA PANAMERICANA KM 80.7,017654321/991531748,15.89
AUCALLAMA,COMERCIALIZADORA Y SERVICIOS DON MARCOS S.A.C.,VARIANTE AUTOPISTA HUARAL - LIMA KM. 09 SECTOR CARLINI,017913707/976724333/949545718,15.9
CHANCAY,CORPORACION RIO BRANCO S A,"CARRETERA PANAMERICANA NORTE KM. 92.5, MZ. A, LOTE 13, POBLADO 4 DE JUNIO, CHANCAYLLO.",013883991/996689174,15.99
CHANCAY,INVERSIONES JULIO III SAC,"CARRETERA HUARAL - CHANCAY KM.2.7, PARCELA 92-A SECTOR TORRE BLANCA",962711993/994102235,15.99
HUARAL,INVERSIONES JULIO III SAC,PARTE DE LA PARCELA U.C. 12131 MILAGROS BAJO - HUANDO,962711993/944570361,15.99
CHANCAY,GRIFOS SERPENTIN S.A.C.,CARRETERA PANAMERICANA NORTE KM. 85,995734132,15.99
AUCALLAMA,MARBELLA PERU S.A.C,PARCELA 34 LT B1 - SECTOR CHACRA Y MAR - PASAMAYO,,16.08
CHANCAY,CORPORACION OIL GEMS SOCIEDAD ANONIMA CERRADA - CORPORACION OIL GEMS S.A.C.,CARRETERA PANAMERICANA NORTE KM 97.20,,16.09
CHANCAY,G CELESTE S.A.C.,CARRETERA PANAMERICANA NORTE KM. 87.5,015720544/960932192/991949291,16.09
AUCALLAMA,SERVICENTRO AGUKI NORTE S.A. - AGUKI NORTE S.A.,ALTURA DEL KM 74 DE LA CARRETERA ANTIGUA PANAMERICANA NORTE – PREDIO RURAL CHACRA Y MAR,,16.09
AUCALLAMA,SERVICENTRO PASAMAYO S.A.C.,"CARRETERA PANAMERICANA NORTE KM 66, SECTOR “A”, PASAMAYO",015502618/995622427/946180584,16.09
AUCALLAMA,ESTACION DE SERVICIOS GRIFO DENVER SRL,CARRETERA PANAMERICANA NORTE KM 66 PASAMAYO,,16.19
CHANCAY,ESTACION DE SERVICIOS GRIFO MASTER SRL,"CARRETERA PANAMERICANA NORTE KM. 86.3, PARCELA 60-A PREDIO LAURE NORTE Y LAURE SUR",,16.19
HUARAL,ESTACION DE SERVICIOS Y GASOCENTRO ESPERANZA SILYCARP INV SAC,AV. VICTORIA S/N,964657631/934817956,16.25
CHANCAY,COESTI S.A,CARRETERA PANAMERICANA NORTE KM. 84.9,012080100/012033100/978835820,16.29
HUARAL,BIOCOMBUSTIBLES H2O S.A.C.,AV. CHANCAY NRO. 513,952174539/940444632,16.29
HUARAL,ESTACION DE SERVICIOS GRIFO DENVER S.R.L.,ESQ. AV. CIRCUNVALACION SUR Y PROLONGACION LOS ANGELES,,16.29
HUARAL,ESTACION DE SERVICIO SAN MARTIN,"ESQUINA AV. CIRCUNVALACION NORTE Y PROLONGACION MARISCAL CASTILLA MZ B LTS. 9, 10, 11 Y 12 HUARAL / HUARAL / LIMA",934817956,16.29
CHANCAY,COESTI S.A.,CARRETERA PANAMERICANA NORTE KM 90.30,5012080100/2033100/978829055,16.29
HUARAL,ROLEMAX,LOTIZADORA ISMAEL COLAN MZ E LOTES 8 Y 9,983950286,16.3
HUARAL,GRIFOS SANTA MARIA,CARRETERA LIMA - HUARAL S/N JESUS DEL VALLE KM 2,999332098,16.33
HUARAL,GRIFO EL HUARANGAL EIRL,"CARRETERA HUARAL LT 11 SECTOR JESUS DEL VALLE, UC 10753",,16.35
HUARAL,CONSULTORA NORQUEENS S.A.C.,LOTIZADORA SEÑOR DE LOS MILAGROS MZ. B LTS. 26 Y 27,012462764,16.35
HUARAL,INVERSIONES ALABAZ,AV. CHANCHAY 101 - HUARAL (ESQUINA CON 2 DE MAYO),998198358,16.39
HUARAL,SHANDHIRA S.A.C.,"AUTOPISTA CHANCAY HUARAL, PREDIO DEL PUQUIO LOTE A",983043666/954131333,16.39
HUARAL,INVERSIONES REJU E.I.R.L.,"KM. 8.185, PISTA HUARAL - VARIANTE PASAMAYO",012466062,16.39
AUCALLAMA,AUCALLAMAS SAC,CARRETERA PANAMERICANA NORTE KM. 75.1,01976484997/01976301977,16.5
HUARAL,INVERSIONES Y REPRESENTACIONES EGAR S.A.C.,PARCELA 42 EX FUNDO HUERTO ESQUIVEL (AV. CHANCAY KM. 8),012502164/920659824,16.55
HUARAL,COESTI S.A,CALLE DERECHA N° 898 (CALLE DERECHA CUADRA 9 ESQ. CAMAL VIEJO),012033100/012080100/978837753,16.69
HUARAL,JULIAN ROSARIO DIAZ ALVA,CARRETERA CHANCAY KM 7.35,012460080/996673021/982089092,16.73
HUARAL,NEGOCIACIONES CMC D' HUARAL S.A.C.,"AV. HUANDO S/N MZ. A, LOTE 1, LAS DELICIAS",012464677/015483536,16.79
HUARAL,COESTI S.A.,AV. CHANCAY S/N ESQUINA CON CALLE 3 DE OCTUBRE,012033100/012080100/978845456,16.85
AUCALLAMA,INVERSIONES Y NEGOCIOS HS S.A.C.,"PARCELA N° 71B SECTOR CARLINI, EX HACIENDA BOZA LTDA. N° 15",993235724,16.89
CHANCAY,DACOR GAS S.A.C.,CARRETERA PANAMERICANA NORTE KM. 84,977175106/927041300,16.9
HUARAL,TRANSPORTE CASSA E.I.R.L.,"PROLONG.AV. ESTACION S/N, LT.5, EX HACIENDA JESUS DEL VALLE",980071255,16.9
CHANCAY,ALRESA S.A.,AV. ROOSEVELT N° 502,945938913,16.95
HUARAL,JUSTO CESAR AYBAR BELLIDO,AV. CIRCUNVALACION Y AV. LOS NATURALES,959603474/985572412,16.99
CHANCAY,REPSOL COMERCIAL S.A.C.,CARRETERA PANAMERICANA NORTE KM.82,013771001/013771530,16.99
CHANCAY,REPSOL COMERCIAL S.A.C.,"CARRETERA PANAMERICANA NORTE KM. 77.5, FUNDO LAS SALINAS",013772721/999622419,16.99
AUCALLAMA,SERVICIOS JAYLU PERU E.I.R.L.,PARCELA 113-B BARRIO SAN JOSE S/N PALPA,017979690,17.1
HUARAL,GRIFO PIERINA,IRRIGACION LA ESPERANZA - SECTOR LA VIRGEN - LOTE N° 5-C,976482520/998227119,17.19
CHANCAY,GLOBAL FUEL SOCIEDAD ANONIMA,CARRETERA PANAMERICANA NORTE KM 85.5,013771137,17.39
HUARAL,REPSOL COMERCIAL S.A.C.,AV. CHANCAY S/N Y JULIO C. TELLO URBANIZACION EL ROSARIO,012461115,17.49
AUCALLAMA,LUBRICENTRO AUCALLAMA S.A.C.,"PARCELA 49, PROYECTO SAN JOSE DE MIRAFLORES",,17.49
RICARDO PALMA,SAN PEDRO COMBUSTIBLES S.R.L.,CARRETERA CENTRAL KM 44.1 - SECTOR CUPICHE,996186824,15.55
SANTA CRUZ DE COCACHACRA,GRIFO SAN ROQUE,"AV. NICOLAS DE PIEROLA SUR, LOTE 2A, SECTOR PURHUAY, ALTURA DEL KM 47.100 DE LA CARRETERA CENTRAL",987237766/967474968,15.7
RICARDO PALMA,INVERSIONES E INDUSTRIAS MIRFER S.A.C.,KILOMETRO 42.200 CARRETERA CENTRAL,920046800,15.79
SAN ANTONIO,ESTACION DE SERVICIOS EPYSA S.A.C.,"AV. INCA PACHACUTEC YUPANQUI ESQ. CON LA AV. HUAYNA CAPAC, MZ. AW, LOTE 9, SUB LOTE A, SECTOR CERCADO DE LA COMUNIDAD CAMPESINA DE JICAMARCA, ANEXO 22",,15.9
SANTA CRUZ DE COCACHACRA,MEGA ESTACION DE SERVICIOS INVERSOL S.A.,"AV. NICOLAS DE PIEROLA SUR, CORCONA KM. 48 - CARRETERA CENTRAL",994979790/950205390,15.99
SANTA CRUZ DE COCACHACRA,CONSORCIO PETRO CENTRAL S.A.C.,"AV. NICOLAS AYLLON, MZ P, LOTE 4. CARRETERA CENTRAL KM 52.800",012440154,16.09
SANTA CRUZ DE COCACHACRA,ESTACIÓN DE SERVICIO CORCONA S.A.C.,AV. NICOLAS DE PIEROLA SUR N° 3404 C.P.C. POB. CORCONA,017048847/964683361,16.39
RICARDO PALMA,EE.SS. SOL Y CAMPO,KM. 46.00 DE LA CARRETERA CENTRAL LIMA-LA OROYA SECTOR CUPICHE,957591719,16.39
SANTA EULALIA,PRIMAX STA EULALIA,AV. SAN MARTIN CRUCE CON AV. SIMON BOLIVAR,947681789,16.89
SAN ANTONIO,SERVICENTRO JICAMARCA,"AV. PACHACUTEC S/N MZ AÑ LOTE 11 Y 12 SECTOR CERCADO, PAMPA CANTO GRANDE",965352546/950959224,16.89
SANTA EULALIA,PETRO REAL GAS E.I.R.L.,AV. SIMON BOLIVAR Nº 1080 - 1170,,17.55
SAN ANTONIO,GARODI S.R.L.,"AV. PACHACUTEC S/N (PROLONGACIÓN WIESE), MZ. C, LOTES 1, 2 Y 3, COMUNIDAD CAMPESINA JICAMARCA",013925949,17.59
SAN ANTONIO,SUMINISTROS PETROLEROS S.A.C.,"MZ. DN, LOTES 03,07, 8A, 8B, SECTOR EL PALOMAR, ANEXO 22",,17.59
SAN ANTONIO,GOLDEN SHOCK S.A.C.,"AV. SINCHI ROCA MZ. G LTE 9, ASOCIACIÓN DE POBLADORES DEL CERCADO DE LA COMUNIDAD CAMPESINA DE JICAMARCA ANEXO 22",998162067/998168977,17.66
SANTA CRUZ DE COCACHACRA,CONSORCIO ARIAS S.A.C.,AV. NICOLAS DE PIEROLA SUR N° 276,996187454/987949295,17.89
SANTA EULALIA,GRUPO JUSAT S.A.C.,"AV. BOLIVAR S/N, SUB LOTES 2 C3 (CARRETERA CENTRAL LIMA - LA OROYA KM. 37.5)",,17.89
SAN ANTONIO,FIDEL SULLCA HUAMAN,AV. TUPAC AMARU ESQUINA CON AV. LOS HEROES MZ CV LT 05 SECTOR EL VALLE DE LA COMUNIDAD CAMPESINA DE JICAMARCA ANEXO 22,,17.99
SAN ANTONIO,INVERSIONES M Y E S.A.C.,AV. UNION JICAMARCA CON JR. LAS FLORES MZ. J LT. 23,944578396/971760133,18.39
SAN ANTONIO,GRIFO A1,"AV. UNION MZ. Y2 LOTES 21 Y 22 JICAMARCA, ESQUINA JR. LOS OLIVOS",996201574,18.4
SAN ANTONIO,CORPORACION PERUANA DE COMERCIO Y SERVICIOS S.A.C.,"AV. UNION JICARMARCA S/N MZ. N2 LT. 09 Y 10, AGRUPACION DE POBLADORES SECTOR NORTE, PARTE ALTA, ANEXO 8",,18.99
SAN MATEO,DISTRIBUIDORA DE COMBUSTIBLE SAN MATEO S.R.L.,AV. LEGUIA N° 110,958120243/948229033,19.0
SANTA CRUZ DE COCACHACRA,COESTI S. A.,AV. NICOLAS DE PIEROLA SUR Nº 3021 (ALTURA DEL KM. 47.7 DE LA CARRETERA CENTRAL - CORCONA),012033100/990123493,19.19
MATUCANA,GRUPO CASSA SAC,CARRETERA CENTRAL KM. 77- CACACHAQUI,980912017/929682465,20.99
RICARDO PALMA,SAN PEDRO COMBUSTIBLES S.R.L.,CARRETERA CENTRAL KM 44.1 - SECTOR CUPICHE,996186824,14.55
SANTA CRUZ DE COCACHACRA,GRIFO SAN ROQUE,"AV. NICOLAS DE PIEROLA SUR, LOTE 2A, SECTOR PURHUAY, ALTURA DEL KM 47.100 DE LA CARRETERA CENTRAL",987237766/967474968,14.7
RICARDO PALMA,INVERSIONES E INDUSTRIAS MIRFER S.A.C.,KILOMETRO 42.200 CARRETERA CENTRAL,920046800,14.79
SANTA CRUZ DE COCACHACRA,MEGA ESTACION DE SERVICIOS INVERSOL S.A.,"AV. NICOLAS DE PIEROLA SUR, CORCONA KM. 48 - CARRETERA CENTRAL",994979790/950205390,14.99
SANTA CRUZ DE COCACHACRA,CONSORCIO PETRO CENTRAL S.A.C.,"AV. NICOLAS AYLLON, MZ P, LOTE 4. CARRETERA CENTRAL KM 52.800",012440154,15.09
SANTA CRUZ DE COCACHACRA,INVERSIONES SOL DE HUAYCAN S.A,"CARRETERA CENTRAL KM. 52-600, SANTA CRUZ DE COCACHACRA",994979790,15.39
SANTA CRUZ DE COCACHACRA,ESTACIÓN DE SERVICIO CORCONA S.A.C.,AV. NICOLAS DE PIEROLA SUR N° 3404 C.P.C. POB. CORCONA,017048847/964683361,15.39
RICARDO PALMA,EE.SS. SOL Y CAMPO,KM. 46.00 DE LA CARRETERA CENTRAL LIMA-LA OROYA SECTOR CUPICHE,957591719,15.39
SAN ANTONIO,SERVICENTRO JICAMARCA,"AV. PACHACUTEC S/N MZ AÑ LOTE 11 Y 12 SECTOR CERCADO, PAMPA CANTO GRANDE",965352546/950959224,15.88
SAN ANTONIO,FELIX MATOS CAMAC,AV. PACHACUTEC ESQ. LLOQUE YUPANQUI MZ. Z LOTE 9 ANEXO 22 PAMPA CANTO GRANDE JICAMARCA,,15.99
SANTA EULALIA,PRIMAX STA EULALIA,AV. SAN MARTIN CRUCE CON AV. SIMON BOLIVAR,947681789,15.99
SANTA EULALIA,GRUPO JUSAT S.A.C.,"AV. BOLIVAR S/N, SUB LOTES 2 C3 (CARRETERA CENTRAL LIMA - LA OROYA KM. 37.5)",,16.25
SAN ANTONIO,GARODI S.R.L.,"AV. PACHACUTEC S/N (PROLONGACIÓN WIESE), MZ. C, LOTES 1, 2 Y 3, COMUNIDAD CAMPESINA JICAMARCA",013925949,16.29
SAN ANTONIO,SUMINISTROS PETROLEROS S.A.C.,"MZ. DN, LOTES 03,07, 8A, 8B, SECTOR EL PALOMAR, ANEXO 22",,16.29
SANTA EULALIA,PETRO REAL GAS E.I.R.L.,AV. SIMON BOLIVAR Nº 1080 - 1170,,16.29
SAN ANTONIO,PAMELA MILAGROS VASQUEZ ROMERO DE ESPINOZA,"AV. TUPAC AMARU, COMUNIDAD CAMPESINA DE JICAMARCA ANEXO 22. PAMPAS DE CANTO GRANDE, MZ. CQ LOTE 1",,16.29
SAN ANTONIO,GASOCENTRO Y AUTOSERVICIOS REAL S.A.C.,MZ. AG LOTE 08 ANEXO 22 COMUNIDAD CAMPESINA JICAMARCA,017194669/948131637/999789226,16.29
SAN ANTONIO,GOLDEN SHOCK S.A.C.,"AV. SINCHI ROCA MZ. G LTE 9, ASOCIACIÓN DE POBLADORES DEL CERCADO DE LA COMUNIDAD CAMPESINA DE JICAMARCA ANEXO 22",998162067/998168977,16.39
SAN ANTONIO,FIDEL SULLCA HUAMAN,AV. TUPAC AMARU ESQUINA CON AV. LOS HEROES MZ CV LT 05 SECTOR EL VALLE DE LA COMUNIDAD CAMPESINA DE JICAMARCA ANEXO 22,,16.49
SANTA CRUZ DE COCACHACRA,CONSORCIO ARIAS S.A.C.,AV. NICOLAS DE PIEROLA SUR N° 276,996187454/987949295,16.79
SAN ANTONIO,ESTACION DE SERVICIOS EPYSA S.A.C.,"AV. INCA PACHACUTEC YUPANQUI ESQ. CON LA AV. HUAYNA CAPAC, MZ. AW, LOTE 9, SUB LOTE A, SECTOR CERCADO DE LA COMUNIDAD CAMPESINA DE JICAMARCA, ANEXO 22",,16.9
SAN ANTONIO,INVERSIONES M Y E S.A.C.,AV. UNION JICAMARCA CON JR. LAS FLORES MZ. J LT. 23,944578396/971760133,16.99
SAN ANTONIO,GRIFO A1,"AV. UNION MZ. Y2 LOTES 21 Y 22 JICAMARCA, ESQUINA JR. LOS OLIVOS",996201574,17.15
SANTA CRUZ DE COCACHACRA,ESTACION DE SERVICIOS SANTA CRUZ DE COCACHACRA SAC,AV. NICOLAS DE PIEROLA S/N CARRETERA CENTRAL KM. 52.8,01969183660,17.19
SANTA CRUZ DE COCACHACRA,COESTI S. A.,AV. NICOLAS DE PIEROLA SUR Nº 3021 (ALTURA DEL KM. 47.7 DE LA CARRETERA CENTRAL - CORCONA),012033100/990123493,17.29
SANTA EULALIA,SERVICENTRO GOYAS,FUNDO OLIVO - SECTOR PALLE VIEJO CÓDIGO CATASTRAL 01571 - AV. MARISCAL CASTILLA S/N,963103706,17.46
SAN ANTONIO,CORPORACION PERUANA DE COMERCIO Y SERVICIOS S.A.C.,"AV. UNION JICARMARCA S/N MZ. N2 LT. 09 Y 10, AGRUPACION DE POBLADORES SECTOR NORTE, PARTE ALTA, ANEXO 8",,17.59
SAN MATEO,DISTRIBUIDORA DE COMBUSTIBLE SAN MATEO S.R.L.,AV. LEGUIA N° 110,958120243/948229033,18.0
SANTO DOMINGO DE LOS OLLERO,EMPRESA DE SERVICIOS MULTIPLES EXPRESO PACHACAMINO S.A.C.,"MZ. B, LOTE 1A, VILLA JARDIN CUCUYA, SECTOR EL MANZANO (ESQUINA AV. SANTO DOMINGO Y AV. LOS MITOS)",,18.2
CUENCA,TRANSPORTES A & P YANAVILVA E.I.R.L.,"AV. PRINCIPAL ESQ. CON CALLE PORVENIR, C.P. SAN JOSÉ DE LOS CHORRILLOS",,19.5
MATUCANA,GRUPO CASSA SAC,CARRETERA CENTRAL KM. 77- CACACHAQUI,980912017/929682465,19.99
No existen registros.,No existen registros.,No existen registros.,No existen registros.,No existen registros.
RICARDO PALMA,INVERSIONES E INDUSTRIAS MIRFER S.A.C.,KILOMETRO 42.200 CARRETERA CENTRAL,920046800,15.49
RICARDO PALMA,SAN PEDRO COMBUSTIBLES S.R.L.,CARRETERA CENTRAL KM 44.1 - SECTOR CUPICHE,996186824,15.49
SANTA CRUZ DE COCACHACRA,GRIFO SAN ROQUE,"AV. NICOLAS DE PIEROLA SUR, LOTE 2A, SECTOR PURHUAY, ALTURA DEL KM 47.100 DE LA CARRETERA CENTRAL",987237766/967474968,15.5
SANTA CRUZ DE COCACHACRA,MEGA ESTACION DE SERVICIOS INVERSOL S.A.,"AV. NICOLAS DE PIEROLA SUR, CORCONA KM. 48 - CARRETERA CENTRAL",994979790/950205390,15.58
SANTA CRUZ DE COCACHACRA,ESTACIÓN DE SERVICIO CORCONA S.A.C.,AV. NICOLAS DE PIEROLA SUR N° 3404 C.P.C. POB. CORCONA,017048847/964683361,15.7
SANTA CRUZ DE COCACHACRA,INVERSIONES SOL DE HUAYCAN S.A,"CARRETERA CENTRAL KM. 52-600, SANTA CRUZ DE COCACHACRA",994979790,15.78
SANTA CRUZ DE COCACHACRA,CONSORCIO PETRO CENTRAL S.A.C.,"AV. NICOLAS AYLLON, MZ P, LOTE 4. CARRETERA CENTRAL KM 52.800",012440154,15.89
SANTA CRUZ DE COCACHACRA,COESTI S. A.,AV. NICOLAS DE PIEROLA SUR Nº 3021 (ALTURA DEL KM. 47.7 DE LA CARRETERA CENTRAL - CORCONA),012033100/990123493,15.99
SANTA CRUZ DE COCACHACRA,ESTACION DE SERVICIOS SANTA CRUZ DE COCACHACRA SAC,AV. NICOLAS DE PIEROLA S/N CARRETERA CENTRAL KM. 52.8,01969183660,16.09
SANTA CRUZ DE COCACHACRA,CONSORCIO ARIAS S.A.C.,AV. NICOLAS DE PIEROLA SUR N° 276,996187454/987949295,16.09
