Distrito,Establecimiento,Dirección,Teléfono,Precio de Venta (Soles por galón)
SAN ANTONIO,ESTACION DE SERVICIOS EPYSA S.A.C.,"AV. INCA PACHACUTEC YUPANQUI ESQ. CON LA AV. HUAYNA CAPAC, MZ. AW, LOTE 9, SUB LOTE A, SECTOR CERCADO DE LA COMUNIDAD CAMPESINA DE JICAMARCA, ANEXO 22",,16.25
SAN ANTONIO,SERVICENTRO JICAMARCA,"AV. PACHACUTEC S/N MZ AÑ LOTE 11 Y 12 SECTOR CERCADO, PAMPA CANTO GRANDE",965352546/950959224,16.29
SANTA EULALIA,PRIMAX STA EULALIA,AV. SAN MARTIN CRUCE CON AV. SIMON BOLIVAR,947681789,16.35
SAN ANTONIO,GOLDEN SHOCK S.A.C.,"AV. SINCHI ROCA MZ. G LTE 9, ASOCIACIÓN DE POBLADORES DEL CERCADO DE LA COMUNIDAD CAMPESINA DE JICAMARCA ANEXO 22",998162067/998168977,16.39
SANTA EULALIA,PETRO REAL GAS E.I.R.L.,AV. SIMON BOLIVAR Nº 1080 - 1170,,16.39
SANTA EULALIA,GRUPO JUSAT S.A.C.,"AV. BOLIVAR S/N, SUB LOTES 2 C3 (CARRETERA CENTRAL LIMA - LA OROYA KM. 37.5)",,16.48
RICARDO PALMA,EE.SS. SOL Y CAMPO,KM. 46.00 DE LA CARRETERA CENTRAL LIMA-LA OROYA SECTOR CUPICHE,957591719,16.59
SAN ANTONIO,GARODI S.R.L.,"AV. PACHACUTEC S/N (PROLONGACIÓN WIESE), MZ. C, LOTES 1, 2 Y 3, COMUNIDAD CAMPESINA JICAMARCA",013925949,16.79
SAN ANTONIO,GASOCENTRO Y AUTOSERVICIOS REAL S.A.C.,MZ. AG LOTE 08 ANEXO 22 COMUNIDAD CAMPESINA JICAMARCA,017194669/948131637/999789226,16.79
SAN ANTONIO,SUMINISTROS PETROLEROS S.A.C.,"MZ. DN, LOTES 03,07, 8A, 8B, SECTOR EL PALOMAR, ANEXO 22",,16.89
SAN ANTONIO,FIDEL SULLCA HUAMAN,AV. TUPAC AMARU ESQUINA CON AV. LOS HEROES MZ CV LT 05 SECTOR EL VALLE DE LA COMUNIDAD CAMPESINA DE JICAMARCA ANEXO 22,,16.89
SAN ANTONIO,GRIFO A1,"AV. UNION MZ. Y2 LOTES 21 Y 22 JICAMARCA, ESQUINA JR. LOS OLIVOS",996201574,16.99
SAN ANTONIO,PAMELA MILAGROS VASQUEZ ROMERO DE ESPINOZA,"AV. TUPAC AMARU, COMUNIDAD CAMPESINA DE JICAMARCA ANEXO 22. PAMPAS DE CANTO GRANDE, MZ. CQ LOTE 1",,16.99
SAN ANTONIO,FELIX MATOS CAMAC,AV. PACHACUTEC ESQ. LLOQUE YUPANQUI MZ. Z LOTE 9 ANEXO 22 PAMPA CANTO GRANDE JICAMARCA,,16.99
SANTA EULALIA,SERVICENTRO GOYAS,FUNDO OLIVO - SECTOR PALLE VIEJO CÓDIGO CATASTRAL 01571 - AV. MARISCAL CASTILLA S/N,963103706,17.35
SAN ANTONIO,INVERSIONES M Y E S.A.C.,AV. UNION JICAMARCA CON JR. LAS FLORES MZ. J LT. 23,944578396/971760133,17.39
SAN ANTONIO,CORPORACION PERUANA DE COMERCIO Y SERVICIOS S.A.C.,"AV. UNION JICARMARCA S/N MZ. N2 LT. 09 Y 10, AGRUPACION DE POBLADORES SECTOR NORTE, PARTE ALTA, ANEXO 8",,17.69
MATUCANA,GRUPO CASSA SAC,CARRETERA CENTRAL KM. 77- CACACHAQUI,980912017/929682465,17.9
SAN MATEO,DISTRIBUIDORA DE COMBUSTIBLE SAN MATEO S.R.L.,AV. LEGUIA N° 110,958120243/948229033,18.0
CUENCA,TRANSPORTES A & P YANAVILVA E.I.R.L.,"AV. PRINCIPAL ESQ. CON CALLE PORVENIR, C.P. SAN JOSÉ DE LOS CHORRILLOS",,18.0
SANTO DOMINGO DE LOS OLLERO,EMPRESA DE SERVICIOS MULTIPLES EXPRESO PACHACAMINO S.A.C.,"MZ. B, LOTE 1A, VILLA JARDIN CUCUYA, SECTOR EL MANZANO (ESQUINA AV. SANTO DOMINGO Y AV. LOS MITOS)",,18.59
VEGUETA,AXEL ENERGY S.A.C.,CARRETERA PANAMERICANA NORTE KM 162+809 - SECTOR MIRAMAR,992414755,16.99
VEGUETA,ESTACION DE SERVICIOS SAN BLAS S.A.C,"CARRETERA PANAMERICANA NORTE, PARCELA 45A, SECTOR LA CHILAMPA",921336265,16.99
VEGUETA,M Y R REY COMBUSTIBLES SRL,PANAMERICANA NORTE KM. 167 + 400 METROS - SAN FELIPE,992474353/946584058,17.49
HUAURA,GLADYS ISABEL AGUERO AMADO,AV. PERU S/N CARRETERA HUAURA SAYAN KM 21.5 CENTRO POBLADO MENOR DE HUMAYA,983129377,17.59
VEGUETA,ESTACION DE SERVICIOS LOBITOS SERVICE S.A.C.,"CARRETERA PANAMERICANA NORTE KM. 169.00-EX FUNDO LOS OLIVOS, IRRIGACION SAN FELIPE LOTE 02 MEDIO MUNDO",979428786/989568266,17.85
VEGUETA,ESTACION DE SERVICIOS NJK S.A.C.,AV. LAS AMERICAS N° 831 - PANAMERICANA NORTE KM 158,012321156/012322783,17.99
SANTA MARIA,ESTACION DE SERVICIOS MAROS S.A.C,AV. CENTENARIO S/N ESQ. CON CALLE CEFERINO RAMIREZ,,17.99
SANTA MARIA,GRIFOS ESPINOZA S.A.,SECTOR AGUA DULCE - LOTE 01,017080700/981262114,17.99
HUALMAY,DIESEL MAX S.R.L.,AV. CRUZ BLANCA N° 996 ANTIGUA CARRETERA PANAMERICANA NORTE KM. 151 + 345,966406426,18.1
HUACHO,PCS SERVICIOS Y REPRESENTACIONES DIVERSAS SAC,CALLE LEONCIO PRADO N° 125,,18.1
VEGUETA,TRANSPCOM MAX E.I.R.L.,CARRETERA MAZO - VEGUETA S/N,981217020,18.1
SAYAN,ESTACION DE SERVICIOS ANDAHUASI S.A.C.,"AV, HUAURA-SAYAN LOTE 100 ESQ CON CALLE SANTIAGO CORNEJO LOPEZ CP SAN JUAN DE CAÑAS",012357980/998258868/996139579,18.1
SAYAN,MULTISERVICIOS EL TRIANGULO,CARRETERA HUAURA – SAYAN KM. 42,953729737/967752045,18.1
HUAURA,SERVICENTRO PETRO HUAURA S.A.C.,"CARRETERA HUAURA-SAYAN, KM.3.755, CASERIO DESAGRAVIO, U.C. 10612, SUB PARCELA B",013580150,18.11
SAYAN,ESTACION DE SERVICIOS MARIVEA E.I.R.L.,"CALLE LOS PATRIOTAS S/N, MZ. I, LOTES 37, 38, 39, 40 Y 41",017390302/987488526/977161271,18.25
SANTA MARIA,MAHANAIM HUACHO S.A.C.,AV. PANAMERICANA NORTE N° 1900-1902-1920-1924-1930,016584860/997282843/941102507,18.27
SANTA MARIA,INVERSIONES HECA S.A.C.,AV. TUPAC AMARU Nº 598,,18.29
SANTA MARIA,ESTACION DE SERVICIOS RIMEER EIRL,AV. CENTENARIO S/N - BARRIO SAN LORENZO,013413528/963760568/963760571,18.3
HUAURA,ESTACIONES DE SERVICIO MERLY EIRL,CARRETERA PANAMERICANA NORTE KM. 154,013413528/963760568,18.3
HUALMAY,ESTACION DE SERVICIOS LI S.A.C.,NUEVA PISTA HUACHO - CARQUIN S/N. SECTOR CAMPO ALEGRE,012321156/012321156,18.36
HUACHO,TRANSFUELS LIPER E.I.R.L.,"AV. SAN MARTIN Nº 157, 163, 165 Y 169",,18.36
SANTA MARIA,ESTACIÓN DE SERVICIOS LI S.A.C.,"CARRETERA PANAMERICANA NORTE N° 990, BARRIO VALDIVIA",963867723/981086617,18.36
HUALMAY,ESTACION DE SERVICIOS HUAURA S.A.C.,"CARRETERA PANAMERICANA NORTE KM. 145, ESQUINA CON AV. PERALVILLO N° 2649",015215769/982597433/988009137,18.37
HUALMAY,GRIFO BARRANCA VIP S.A.C.,AV. DOMINGO MANDAMIENTO N° 1098 CON AV. CRUZ BLANCA,941564560/941562679,18.37
SANTA MARIA,ESTACIÓN DE SERVICIOS SAN JOSÉ S.A.C - HUACHO,CARRETERA PANAMERICANA NORTE KM 149,013801594/994034363,18.38
SANTA MARIA,TRADCOM E.I.R.L.,CARRETERA PANAMERICANA NORTE N° 1598,013556150/994150371/972158594,18.38
HUACHO,GRIFOS SAGITARIO S.R.L.,ESQ. CALLE ECHENIQUE Y FRANCISCO VIDAL N° 903,987654321,18.39
HUAURA,GRIFOS OBISPO E.I.R.L.,"AV.SAN FRANCISCO MZ.D LOTES 17,18,19 Y 20",013413528/963760568,18.4
HUACHO,ESTACION DE SERVICIOS YOLITA S.A.C.,AV. MERCEDES INDACOCHEA 201,994243640,18.4
SAYAN,ESTACION DE SERVICIO LOS MEDANOS S.A.C,"CARRETERA HUACHO - SAYAN, MZ. D, LT. 4 - LOS MEDANOS, SECTOR IRRIGACION SANTA ROSA",912985488/997735407,18.9
SAYAN,SERVICENTRO SANTA CLARA S.A.C,CARRETERA HUACHO-SAYAN CRUCE SAN BOSCO S/N. - CENTRO POBLADO IRRIGACION SANTA ROSA.,017654321/944254027/960325829,18.9
SANTA MARIA,GASOCENTRO OVAL S.A.C.,AV. PANAMERICANA NORTE N° 1270 (ANTES CARRETERA PANAMERICANA NORTE KM 148),012323831,18.98
SANTA MARIA,GRIFOS SAGITARIO S.R.L.,CARRETERA PANAMERICANA NORTE 1766 KM.150,012321851,18.99
HUACHO,COESTI S.A.,CALLE DOMINGO COLOMA N° 152,012033100/012080100/961586025,18.99
VEGUETA,ESTACION DE SERVICIOS SERVIKYA S.A.C.,"CARRETERA PANAM. NORTE KM.169+033, SUB LOTE 2,PARCELA 43, PREDIO LA CHILAMPA CENTRO POBLADO MENOR MEDIO MUNDO",,18.99
SAYAN,SERVICENTRO LA ESTANCIA S.A.C.,VIA IRRIGACION SANTA ROSA - CRUCE SAN BOSCO,,19.0
CHECRAS,ESTACION DE SERVICIOS EL POTRILLO PIEDRA BLANCA,CASERIO DE PIEDRA BLANCA S/N LACSAURA,01938560030,19.19
SAYAN,RUBEN E HIJOS S.A.C,"CARRETERA HUACHO - SAYAN, MZ C LOTE 3, A.H. 9 DE OCTUBRE , IRRIGACION SANTA ROSA",012383000/987223800,19.5
SAYAN,GRIFO LA BELLA VILLA S.A.C.,"AV. LA VILLA MZ A LOTE 7, CENTRO POBLADO EL MILAGRO EX FUNDO FAUSTA ANGÉLICA SECTOR IRRIGACIÓN SANTA ROSA",012379124,20.0
HUACHO,SHIMA INVERSIONES BARRANCA E.I.R.L.,AUGUSTO B. LEGUIA Y PROLONGACION ADAN ACEVEDO S/N,982569540/982569541,23.0
VEGUETA,AXEL ENERGY S.A.C.,CARRETERA PANAMERICANA NORTE KM 162+809 - SECTOR MIRAMAR,992414755,15.99
VEGUETA,ESTACION DE SERVICIOS SAN BLAS S.A.C,"CARRETERA PANAMERICANA NORTE, PARCELA 45A, SECTOR LA CHILAMPA",921336265,15.99
HUAURA,GLADYS ISABEL AGUERO AMADO,AV. PERU S/N CARRETERA HUAURA SAYAN KM 21.5 CENTRO POBLADO MENOR DE HUMAYA,983129377,16.49
VEGUETA,M Y R REY COMBUSTIBLES SRL,PANAMERICANA NORTE KM. 167 + 400 METROS - SAN FELIPE,992474353/946584058,16.49
SANTA MARIA,INVERSIONES HECA S.A.C.,AV. TUPAC AMARU Nº 598,,16.69
VEGUETA,ESTACION DE SERVICIOS LOBITOS SERVICE S.A.C.,"CARRETERA PANAMERICANA NORTE KM. 169.00-EX FUNDO LOS OLIVOS, IRRIGACION SAN FELIPE LOTE 02 MEDIO MUNDO",979428786/989568266,16.75
SANTA MARIA,ESTACION DE SERVICIOS MAROS S.A.C,AV. CENTENARIO S/N ESQ. CON CALLE CEFERINO RAMIREZ,,16.89
SANTA MARIA,GRIFOS ESPINOZA S.A.,SECTOR AGUA DULCE - LOTE 01,017080700/981262114,16.99
HUACHO,PCS SERVICIOS Y REPRESENTACIONES DIVERSAS SAC,CALLE LEONCIO PRADO N° 125,,17.0
SANTA MARIA,MAHANAIM HUACHO S.A.C.,AV. PANAMERICANA NORTE N° 1900-1902-1920-1924-1930,016584860/997282843/941102507,17.09
VEGUETA,ESTACION DE SERVICIOS NJK S.A.C.,AV. LAS AMERICAS N° 831 - PANAMERICANA NORTE KM 158,012321156/012322783,17.09
HUAURA,ESTACIONES DE SERVICIO MERLY EIRL,CARRETERA PANAMERICANA NORTE KM. 154,013413528/963760568,17.1
SAYAN,ESTACION DE SERVICIOS ANDAHUASI S.A.C.,"AV, HUAURA-SAYAN LOTE 100 ESQ CON CALLE SANTIAGO CORNEJO LOPEZ CP SAN JUAN DE CAÑAS",012357980/998258868/996139579,17.1
SANTA MARIA,ESTACION DE SERVICIOS RIMEER EIRL,AV. CENTENARIO S/N - BARRIO SAN LORENZO,013413528/963760568/963760571,17.1
SAYAN,MULTISERVICIOS EL TRIANGULO,CARRETERA HUAURA – SAYAN KM. 42,953729737/967752045,17.1
SANTA MARIA,ESTACIÓN DE SERVICIOS LI S.A.C.,"CARRETERA PANAMERICANA NORTE N° 990, BARRIO VALDIVIA",963867723/981086617,17.14
SANTA MARIA,ESTACIÓN DE SERVICIOS SAN JOSÉ S.A.C - HUACHO,CARRETERA PANAMERICANA NORTE KM 149,013801594/994034363,17.14
HUACHO,TRANSFUELS LIPER E.I.R.L.,"AV. SAN MARTIN Nº 157, 163, 165 Y 169",,17.14
HUALMAY,GRIFO BARRANCA VIP S.A.C.,AV. DOMINGO MANDAMIENTO N° 1098 CON AV. CRUZ BLANCA,941564560/941562679,17.14
HUALMAY,ESTACION DE SERVICIOS LI S.A.C.,NUEVA PISTA HUACHO - CARQUIN S/N. SECTOR CAMPO ALEGRE,012321156/012321156,17.14
SANTA MARIA,TRADCOM E.I.R.L.,CARRETERA PANAMERICANA NORTE N° 1598,013556150/994150371/972158594,17.14
HUALMAY,ESTACION DE SERVICIOS HUAURA S.A.C.,"CARRETERA PANAMERICANA NORTE KM. 145, ESQUINA CON AV. PERALVILLO N° 2649",015215769/982597433/988009137,17.14
HUAURA,SERVICENTRO PETRO HUAURA S.A.C.,"CARRETERA HUAURA-SAYAN, KM.3.755, CASERIO DESAGRAVIO, U.C. 10612, SUB PARCELA B",013580150,17.17
HUACHO,GRIFOS SAGITARIO S.R.L.,ESQ. CALLE ECHENIQUE Y FRANCISCO VIDAL N° 903,987654321,17.19
VEGUETA,TRANSPCOM MAX E.I.R.L.,CARRETERA MAZO - VEGUETA S/N,981217020,17.2
HUAURA,GRIFOS OBISPO E.I.R.L.,"AV.SAN FRANCISCO MZ.D LOTES 17,18,19 Y 20",013413528/963760568,17.2
HUACHO,ESTACION DE SERVICIOS YOLITA S.A.C.,AV. MERCEDES INDACOCHEA 201,994243640,17.2
HUALMAY,DIESEL MAX S.R.L.,AV. CRUZ BLANCA N° 996 ANTIGUA CARRETERA PANAMERICANA NORTE KM. 151 + 345,966406426,17.2
SANTA MARIA,GRIFOS SAGITARIO S.R.L.,CARRETERA PANAMERICANA NORTE 1766 KM.150,012321851,17.24
SAYAN,ESTACION DE SERVICIOS MARIVEA E.I.R.L.,"CALLE LOS PATRIOTAS S/N, MZ. I, LOTES 37, 38, 39, 40 Y 41",017390302/987488526/977161271,17.3
HUACHO,COESTI S.A.,CALLE DOMINGO COLOMA N° 152,012033100/012080100/961586025,17.39
SANTA MARIA,GASOCENTRO OVAL S.A.C.,AV. PANAMERICANA NORTE N° 1270 (ANTES CARRETERA PANAMERICANA NORTE KM 148),012323831,17.41
HUACHO,SHIMA INVERSIONES BARRANCA E.I.R.L.,AUGUSTO B. LEGUIA Y PROLONGACION ADAN ACEVEDO S/N,982569540/982569541,17.69
SAYAN,SERVICENTRO SANTA CLARA S.A.C,CARRETERA HUACHO-SAYAN CRUCE SAN BOSCO S/N. - CENTRO POBLADO IRRIGACION SANTA ROSA.,017654321/944254027/960325829,17.9
SAYAN,ESTACION DE SERVICIO LOS MEDANOS S.A.C,"CARRETERA HUACHO - SAYAN, MZ. D, LT. 4 - LOS MEDANOS, SECTOR IRRIGACION SANTA ROSA",912985488/997735407,17.9
VEGUETA,ESTACION DE SERVICIOS SERVIKYA S.A.C.,"CARRETERA PANAM. NORTE KM.169+033, SUB LOTE 2,PARCELA 43, PREDIO LA CHILAMPA CENTRO POBLADO MENOR MEDIO MUNDO",,17.99
SAYAN,SERVICENTRO LA ESTANCIA S.A.C.,VIA IRRIGACION SANTA ROSA - CRUCE SAN BOSCO,,18.0
CHECRAS,ESTACION DE SERVICIOS EL POTRILLO PIEDRA BLANCA,CASERIO DE PIEDRA BLANCA S/N LACSAURA,01938560030,18.3
SAYAN,RUBEN E HIJOS S.A.C,"CARRETERA HUACHO - SAYAN, MZ C LOTE 3, A.H. 9 DE OCTUBRE , IRRIGACION SANTA ROSA",012383000/987223800,18.5
SAYAN,GRIFO LA BELLA VILLA S.A.C.,"AV. LA VILLA MZ A LOTE 7, CENTRO POBLADO EL MILAGRO EX FUNDO FAUSTA ANGÉLICA SECTOR IRRIGACIÓN SANTA ROSA",012379124,19.2
HUACHO,TRANSFUELS LIPER E.I.R.L.,"AV. SAN MARTIN Nº 157, 163, 165 Y 169",,15.6
SANTA MARIA,ESTACIÓN DE SERVICIOS LI S.A.C.,"CARRETERA PANAMERICANA NORTE N° 990, BARRIO VALDIVIA",963867723/981086617,15.6
HUALMAY,ESTACION DE SERVICIOS LI S.A.C.,NUEVA PISTA HUACHO - CARQUIN S/N. SECTOR CAMPO ALEGRE,012321156/012321156,15.6
HUACHO,GRIFOS SAGITARIO S.R.L.,ESQ. CALLE ECHENIQUE Y FRANCISCO VIDAL N° 903,987654321,17.89
VEGUETA,AXEL ENERGY S.A.C.,CARRETERA PANAMERICANA NORTE KM 162+809 - SECTOR MIRAMAR,992414755,16.19
VEGUETA,ESTACION DE SERVICIOS SAN BLAS S.A.C,"CARRETERA PANAMERICANA NORTE, PARCELA 45A, SECTOR LA CHILAMPA",921336265,16.19
HUAURA,GLADYS ISABEL AGUERO AMADO,AV. PERU S/N CARRETERA HUAURA SAYAN KM 21.5 CENTRO POBLADO MENOR DE HUMAYA,983129377,16.99
HUACHO,PCS SERVICIOS Y REPRESENTACIONES DIVERSAS SAC,CALLE LEONCIO PRADO N° 125,,17.0
VEGUETA,ESTACION DE SERVICIOS LOBITOS SERVICE S.A.C.,"CARRETERA PANAMERICANA NORTE KM. 169.00-EX FUNDO LOS OLIVOS, IRRIGACION SAN FELIPE LOTE 02 MEDIO MUNDO",979428786/989568266,17.0
SAYAN,ESTACION DE SERVICIOS ANDAHUASI S.A.C.,"AV, HUAURA-SAYAN LOTE 100 ESQ CON CALLE SANTIAGO CORNEJO LOPEZ CP SAN JUAN DE CAÑAS",012357980/998258868/996139579,17.09
SAYAN,MULTISERVICIOS EL TRIANGULO,CARRETERA HUAURA – SAYAN KM. 42,953729737/967752045,17.09
SANTA MARIA,MAHANAIM HUACHO S.A.C.,AV. PANAMERICANA NORTE N° 1900-1902-1920-1924-1930,016584860/997282843/941102507,17.19
SANTA MARIA,ESTACION DE SERVICIOS RIMEER EIRL,AV. CENTENARIO S/N - BARRIO SAN LORENZO,013413528/963760568/963760571,17.2
HUAURA,ESTACIONES DE SERVICIO MERLY EIRL,CARRETERA PANAMERICANA NORTE KM. 154,013413528/963760568,17.2
HUALMAY,ESTACION DE SERVICIOS LI S.A.C.,NUEVA PISTA HUACHO - CARQUIN S/N. SECTOR CAMPO ALEGRE,012321156/012321156,17.23
HUACHO,TRANSFUELS LIPER E.I.R.L.,"AV. SAN MARTIN Nº 157, 163, 165 Y 169",,17.23
SANTA MARIA,ESTACIÓN DE SERVICIOS LI S.A.C.,"CARRETERA PANAMERICANA NORTE N° 990, BARRIO VALDIVIA",963867723/981086617,17.23
HUALMAY,ESTACION DE SERVICIOS HUAURA S.A.C.,"CARRETERA PANAMERICANA NORTE KM. 145, ESQUINA CON AV. PERALVILLO N° 2649",015215769/982597433/988009137,17.23
VEGUETA,ESTACION DE SERVICIOS NJK S.A.C.,AV. LAS AMERICAS N° 831 - PANAMERICANA NORTE KM 158,012321156/012322783,17.23
SANTA MARIA,TRADCOM E.I.R.L.,CARRETERA PANAMERICANA NORTE N° 1598,013556150/994150371/972158594,17.24
HUALMAY,GRIFO BARRANCA VIP S.A.C.,AV. DOMINGO MANDAMIENTO N° 1098 CON AV. CRUZ BLANCA,941564560/941562679,17.24
HUAURA,GRIFOS OBISPO E.I.R.L.,"AV.SAN FRANCISCO MZ.D LOTES 17,18,19 Y 20",013413528/963760568,17.3
VEGUETA,M Y R REY COMBUSTIBLES SRL,PANAMERICANA NORTE KM. 167 + 400 METROS - SAN FELIPE,992474353/946584058,17.39
SAYAN,ESTACION DE SERVICIOS MARIVEA E.I.R.L.,"CALLE LOS PATRIOTAS S/N, MZ. I, LOTES 37, 38, 39, 40 Y 41",017390302/987488526/977161271,17.55
SANTA MARIA,ESTACIÓN DE SERVICIOS SAN JOSÉ S.A.C - HUACHO,CARRETERA PANAMERICANA NORTE KM 149,013801594/994034363,17.58
VEGUETA,ESTACION DE SERVICIOS SERVIKYA S.A.C.,"CARRETERA PANAM. NORTE KM.169+033, SUB LOTE 2,PARCELA 43, PREDIO LA CHILAMPA CENTRO POBLADO MENOR MEDIO MUNDO",,17.59
VEGUETA,TRANSPCOM MAX E.I.R.L.,CARRETERA MAZO - VEGUETA S/N,981217020,17.6
HUALMAY,DIESEL MAX S.R.L.,AV. CRUZ BLANCA N° 996 ANTIGUA CARRETERA PANAMERICANA NORTE KM. 151 + 345,966406426,17.6
HUACHO,COESTI S.A.,CALLE DOMINGO COLOMA N° 152,012033100/012080100/961586025,17.69
SANTA MARIA,ESTACION DE SERVICIOS MAROS S.A.C,AV. CENTENARIO S/N ESQ. CON CALLE CEFERINO RAMIREZ,,17.84
SANTA MARIA,INVERSIONES HECA S.A.C.,AV. TUPAC AMARU Nº 598,,17.89
CHECRAS,ESTACION DE SERVICIOS EL POTRILLO PIEDRA BLANCA,CASERIO DE PIEDRA BLANCA S/N LACSAURA,01938560030,17.89
SAYAN,ESTACION DE SERVICIO LOS MEDANOS S.A.C,"CARRETERA HUACHO - SAYAN, MZ. D, LT. 4 - LOS MEDANOS, SECTOR IRRIGACION SANTA ROSA",912985488/997735407,17.9
HUACHO,SHIMA INVERSIONES BARRANCA E.I.R.L.,AUGUSTO B. LEGUIA Y PROLONGACION ADAN ACEVEDO S/N,982569540/982569541,17.95
SANTA MARIA,GRIFOS SAGITARIO S.R.L.,CARRETERA PANAMERICANA NORTE 1766 KM.150,012321851,17.98
SAYAN,SERVICENTRO LA ESTANCIA S.A.C.,VIA IRRIGACION SANTA ROSA - CRUCE SAN BOSCO,,17.99
SANTA MARIA,GRIFOS ESPINOZA S.A.,SECTOR AGUA DULCE - LOTE 01,017080700/981262114,17.99
HUACHO,GRIFOS SAGITARIO S.R.L.,ESQ. CALLE ECHENIQUE Y FRANCISCO VIDAL N° 903,987654321,17.99
SANTA MARIA,GASOCENTRO OVAL S.A.C.,AV. PANAMERICANA NORTE N° 1270 (ANTES CARRETERA PANAMERICANA NORTE KM 148),012323831,17.99
SAYAN,SERVICENTRO SANTA CLARA S.A.C,CARRETERA HUACHO-SAYAN CRUCE SAN BOSCO S/N. - CENTRO POBLADO IRRIGACION SANTA ROSA.,017654321/944254027/960325829,17.99
HUACHO,ESTACION DE SERVICIOS YOLITA S.A.C.,AV. MERCEDES INDACOCHEA 201,994243640,18.0
SAYAN,GRIFO LA BELLA VILLA S.A.C.,"AV. LA VILLA MZ A LOTE 7, CENTRO POBLADO EL MILAGRO EX FUNDO FAUSTA ANGÉLICA SECTOR IRRIGACIÓN SANTA ROSA",012379124,18.1
SAYAN,RUBEN E HIJOS S.A.C,"CARRETERA HUACHO - SAYAN, MZ C LOTE 3, A.H. 9 DE OCTUBRE , IRRIGACION SANTA ROSA",012383000/987223800,18.4
HUAURA,SERVICENTRO PETRO HUAURA S.A.C.,"CARRETERA HUAURA-SAYAN, KM.3.755, CASERIO DESAGRAVIO, U.C. 10612, SUB PARCELA B",013580150,18.65
COMAS,FILSE S.A.C.,AV. METROPOLITANA N° 1905,015369596/992763709,15.59
COMAS,FULL OILS PETRO SOCIEDAD ANONIMA CERRADA-FULL OILS PETRO S.A.C.,AV. REVOLUCION N° 783 PRIMERA ZONA - COLLIQUE,014467967,15.59
ATE,EMPRESA DE SERVICIOS Y TRANSPORTES EL NEGRO E.I.R.L.,"MZ A LT 1,2,3,4,5 Y 6 DEL PROGRAMA DE VIVIENDA Y COMERCIO LAS PRADERAS DE PARIACHI",013592881/996503352,15.6
LURIGANCHO,GRIFOS LOS DELFINES JR,"CARRETERA CENTRAL (AV. LIMA SUR) ESQUINA CON PASAJE JACARANDAES, SUB LOTE 34-B1, B2, B3",994979790,15.6
LURIGANCHO,CLARIGO S.A.C.,"AV. LAS FLORES Nº 750, URB. SANTA MARIA",013602151/013601043,15.63
LURIGANCHO,SAN PEDRO COMBUSTIBLES S.R.L.,CALLE LIMA SUR N° 1529 (EX CARRETERA CENTRAL) PARTE DEL LOTE 43 DEL FUNDO MOYOPAMPA,996186824,15.63
LURIGANCHO,ATS AMERICA SAC,AV. LIMA SUR Nº 895 - CHOSICA,015342336/994038205/977343458,15.63
SAN MARTIN DE PORRES,PETRO SAN MARTIN S.A.C.,"LOTE 2-3 DE LA MANZANA V, URBANIZACIÓN PRO-SÉTIMO SECTOR - PARCELA A",015401560/015400128,15.68
PUENTE PIEDRA,INVERS SCJ ONOFRE E.I.R.L.,AV. LEONCIO PRADO Nº 344 - ZAPALLAL,,15.69
SAN MARTIN DE PORRES,REPSOL GRIFO SAN DIEGO,AV. SAN DIEGO Nº 1000 Y CALLE SANTA MARIA,969253848/995715559,15.7
SAN MARTIN DE PORRES,INVERSIONES Y SERVICIOS JULIO III SAC,"INTERSECCION AV. CENTRAL Y AV. LAS TORRES MZ. C, LOTES 8, 9, 10 Y 11, ASOC. DE VIVIENDA. SANTA MARIA DE NARANJAL.",,15.7
LIMA,GRIFO J.H.P. E.I.R.LTDA.,AV. OSCAR R. BENAVIDES INTERSECCIÓN JR. PRESBITERO GÁSPAR HERNÁNDEZ,,15.75
